Unnamed: 0,tweet,sentiment
192,"@goodlaura What about Reese dying on #TTSC? And season finale next week.  #24 boring, Madame President is a crazy woman.",0.0
445,Nasty budget due and my iphone is being sent to Apple today. ,0.0
1085,"@transbay &quot;SFMTA Budget Proposal Hearing: tomorrow, April 7 at 2:00 pm (City Hall, Room 400). Sadly, I cannot attend.&quot; Me neither. ",0.0
1988,"Obama is visiting istanbul today, therefore all main roads have been closed  cause and effect !!!",0.0
2019,just got back from the funeral of a government employee-friend.    http://plurk.com/p/n0bvd,0.0
2338,Today is the day the government kills us all ,0.0
2433,"Carter Co, Kentucky has estblshd thier first public library and are in need of a director!! Thier entire budget is only $54,000/year ",0.0
2555,@SaulWilliams third budget of the yr in ireland today. they want to tax text messages. pray for the poets ,0.0
2617,"@RonJeffries I'd love to hire you again too, it was tons of fun last time. I don't do the budget tho. Or the hiring ",0.0
2643,I'm trying to plan trips...low budget though...don't think it is working ,0.0
2701,@casasteve VW forums are a nightmare for that. Enthusiasts on forums always results in politics and bitching! ,0.0
3164,"@lwmedium It is, apparently the Chinese government put pressure on The SA one not to let him in. Whole Peace conference was canceled ",0.0
3296,Another shoe throwing incident! journalist jarnail singh threw a shoe at Home minister chidambaram!! bt missed target ,0.0
3552,My phone is BROKE.  Too bad I could have been sending you EXCITING tweets today on how the city elections are going. Election judge day!,0.0
3885,ooooooooooooh my headddd  uncle johnny i never should have agreed to work the town election for you when I got that drunk last night....ow,0.0
4482,#dreams Had to speak at night honoring michelle obama as fashion icon. Did so wearing her clothes. Got pee on them while changing. ,0.0
4534,#dreams Had discussion about unitarians with a libertarian while sitting in a gigantic anthill. He loved jesus too much to be civil.  ,0.0
4723,CBI is Congress Bureau of Investigation. ...Ita a BIG RED QUESTION MARK on the capability of Indian Judiciary System... ,0.0
4847,@charliewalduck It's the budget in Ireland. ,0.0
4953,"@tiffanymarie_x3 Haven't been to bed yet.  The perks of unemployment  And yes, apparently your TwitterBerry updates DO come through.",0.0
5475,"Workin the election, driving round checking on judges and eqip... sick. So much more fun when healthy. ",0.0
6164,We are on a one way road to hell &amp; I don't think Obama can do anything about it ,0.0
6349,"@Miss_Monrose Ouch  One good thing about living in Canada I 'spose, most of that is covered by government insurance.",0.0
6369,Having a shitty kind of a day due to local council bureaucracy  Looking forward to Arsenal match tonight. I do think we will win tonight.,0.0
6413,"slowly loosing the will to live....had enough of emergent literacy, NLS, systematic phonics and government strategies, brain dead ",0.0
6824,@bondsbustyblond how's your tuesday? i have work and the #il05 election. ,0.0
6840,@lalonde Thanks for the budget feed tip. Following the disaster as it happens ,0.0
7463,yay unemployment!  I hate my life.,0.0
7674,So. Kutner is leaving Housee for Obama. I don't know how I feel about that. ,0.0
8256,Sleepy from dinner at the governor's mansion! Have to study for org 2 test ,0.0
9632,@showbiz_cousin is this unemployment related? ,0.0
9703,"@Spitphyre nominate for what? I ain't getting into politics! :^O anyway, don't know if I got fans, ACs yeah, but fans? lost case anyway ",0.0
10932,@Sky_Bluez Maybe Andrew Bird &quot;believes&quot; in public education as much as his hero Barack Obama does.     #tcot,0.0
12058,http://twitpic.com/3j2lo - at #democratic council training in Orange. Learning how to be a Democrat. It's all day though ,0.0
12660,@LilPecan I doubt anyone would hate someone for being a Libertarian if they understood. Republicans have given us all bad names. ,0.0
12723,"@devtee I want Ortega, not Obama!  #fifthsummit",0.0
12959,@ReaganGomez I hate when childish petty feelings come before the welfare of the child ,0.0
13259,is totally out of his depth trying to do the final essay for the Development of Political Thought module ,0.0
14210,@bryci all my stuff is already at the house haha. so its NOW. but i have to wait to go to the usa. 5 more weeks for my immigration ,0.0
14701,"WWJBD: they meant Jimmy Buffet, I thought Joe Biden. ",0.0
14933,@TomVMorris I live for room service when someone else pays but this week out of my budget ,0.0
16296,I wish i was the fake president ,0.0
16383,"I was very touched by his prayer.Obama needs the Lord.If you have Jesus in your heart,you don't have His initials covered up. ",0.0
18031,In my country ppl actually think it's a good idea to make political advertisement using a #Batman logo  http://twitpic.com/3kzl8,0.0
18334,@shayneloveless i dont get rudd money  stupid government,0.0
18635,unemployment is fun!!!! too bad mines is coming to an end ,0.0
20151,I got them through the Battery Hen Welfare Trust (www.bhwt.org.uk) who arranges adoption opportunities for hens who are deemed past it! ,0.0
20688,No press conference because we have to listen to some boring suited man talk about politics  anyways off to listen to the forum.,0.0
20964,Watching donald trump on larry king. Pretty beat after all the travel. Think I caught a cold from NYC to Vegas  Drats!,0.0
21281,yes we have Governor Corzine ,0.0
21379,@hesperus dont think they sell properties to people collecting unemployment checks though ,0.0
22831,"Former President, Bill Clinton is FAMU's Commencement graduation speaker! S[SPECTACULAR! Too bad I'll be in Maryland ",0.0
22833,"Former President, Bill Clinton is FAMU's Commencement graduation speaker! SPECTACULAR! Too bad I'll be in Maryland ",0.0
23552,still trying to book a hotel in London for may...can anyone rec a hotel? budget chain hotels are all full ,0.0
24791,"Aw. I hurt a republican's feelings. I has a sad.   So sorry, humorless guy.",0.0
26486,@rockscottydont aaahhh!! i wish!!! i'm over budget already this paycheck though...so no gas to get therrre ,0.0
27735,I'm so glad @michaeljnelson refrains from tweeting about politics. I would feel horrible if he did ,0.0
28216,"@tomwhyte1 I don't want you to leave, much fun chatting with you about &quot;politics&quot; , if you leave, you are a part of the politics ",0.0
29159,"Have tidied the kitchen, now sorting out the back2work stuff. Hair regulation army cut, now shining my shoes and soon to iron the shirt. ",0.0
29340,POLITICAL unrest in thailand = brother not going = no car for two weeks for me. Fuck you thailand trannies ,0.0
29614,This paper (that I did do part of!) made me miss the election  fun times.,0.0
30344,this weekend was a good weekend. Tomorrow morning will be good until I get to my government class. I DIDN'T DO MY PAPER ,0.0
32156,@Gurlstrange butbutbut you cant twitter on that! bold and storm are so outta my budget.  sigh.,0.0
34321,Got to go to Unemployment office to try and finalize my schooling  this morning I H ATE THAT PLACE so many workers there unemployed sad ,0.0
35521,writing a politics essay on Fascism!! not fun ,0.0
35957,Science class.  Still trying to get this politics crap done.  ,0.0
36135,finally the longest week of my life is over!! Claiming unemployment this week - now they are paying weekly. Still looking though ,0.0
37042,It's hard to 'hear' anything in the midst of all the election campaigning!  Rhetoric rules!  ,0.0
37937,Just posted a political rant and deleted it.  I'm just not in the mood for that discussion. ,0.0
38805,First election year that I'm going to have a holiday on voting day. Quite sad about that  I miss the campaigning...,0.0
39007,"does anyone know if Nick J has a personal twitter? I know K2 and Danger each have one, but I couldn't find Mr. President. ",0.0
39479,is no longer attending the SAMA's &quot;due to budget constraints&quot; ,0.0
40084,Only in Ireland http://bit.ly/8CBFu be rich or on welfare just don't work hard on middle income or you pay for those above and below ,0.0
40146,"my tax rate raised by 4% starting today  Dear government, please use my many with extreme care",0.0
40706,"@MyNews24 hi your election feed is a bit weird, i am not savvy enough to tell you what is wrong ",0.0
41243,"Arthur Scargill  NUM President-4-Life) : Not perfect , but at least he kept to his principles. Well done Arthur.",0.0
42681,"I just heard on the news that by the end of this year we'll all get swine flu, even vegetarians  the government is evil",0.0
43300,"scary, just heard on the news that by the end of this year we'll all get sick with #swineflu, even vegetarians  the government is evil",0.0
44180,"ToI continues to misinform. Morons! HT, DNA scored in election coverage. IBN disappoints too. ",0.0
44427,doing a political story ,0.0
45419,John Prescott on R4Today &quot;I'm into facebooks now...&quot; c.f. Obama. Bye bye Labour ,0.0
45840,"No response to any of my tweets to (in)famous Republicans. d'oh, I thought they were funny ",0.0
